amzn_price-history-1st Jan 2019-30th Nov 2020
Time,Open,High,Low,Last,Volume
10/16/2019 ,1773.33,1786.24,1770.52,1777.43,2804068
10/17/2019 ,1796.49,1798.85,1782.02,1787.48,2713773
10/18/2019 ,1787.8,1793.98,1749.2,1757.51,3366091
10/21/2019 ,1769.66,1785.88,1765,1785.66,2224902
10/22/2019 ,1788.15,1789.78,1762,1765.73,2234425
10/23/2019 ,1761.3,1770.05,1742,1762.17,2190380
10/24/2019 ,1771.09,1788.34,1760.27,1780.78,5204350
10/25/2019 ,1697.55,1764.21,1695,1761.33,9626402
10/28/2019 ,1748.06,1778.7,1742.5,1777.08,3708851
10/29/2019 ,1774.81,1777,1755.81,1762.71,2276855
10/30/2019 ,1760.24,1782.38,1759.12,1779.99,2449405
10/31/2019 ,1775.99,1792,1771.48,1776.66,2781185
11/1/2019,1788.01,1797.45,1785.21,1791.44,2790354
11/4/2019,1801.01,1815.06,1801.01,1804.66,2771922
11/5/2019,1809.16,1810.25,1794,1801.71,1885543
11/6/2019,1801,1802.5,1788.58,1795.77,2029783
11/7/2019,1803.76,1805.9,1783.48,1788.2,2651086
11/8/2019,1787.89,1789.88,1774.04,1785.88,2126198
11/11/2019,1778,1780,1767.13,1771.65,1947810
11/12/2019,1774.66,1786.22,1771.91,1778,2038925
11/13/2019 ,1773.39,1775,1747.32,1753.11,2926892
11/14/2019 ,1751.43,1766.59,1749.56,1754.6,2269417
11/15/2019 ,1760.05,1761.68,1732.86,1739.49,3931141
11/18/2019 ,1738.3,1753.7,1722.71,1752.53,2841907
11/19/2019 ,1756.99,1760.68,1743.03,1752.79,2274535
11/20/2019 ,1749.14,1762.52,1734.12,1745.53,2793759
11/21/2019 ,1743,1746.87,1730.36,1734.71,2662938
11/22/2019 ,1739.02,1746.43,1731,1745.72,2479081
11/25/2019 ,1753.25,1777.42,1753.24,1773.84,3489467
11/26/2019 ,1779.92,1797.03,1778.35,1796.94,3190428
11/27/2019 ,1801,1824.5,1797.31,1818.51,3035846
11/29/2019,1817.78,1824.69,1800.79,1800.8,1923440
12/2/2019,1804.4,1805.55,1762.68,1781.6,3931750
12/3/2019,1760,1772.87,1747.23,1769.96,3529582
12/4/2019,1774.01,1789.09,1760.22,1760.69,2680700
12/5/2019,1763.5,1763.5,1740,1740.48,2827852
12/6/2019,1751.2,1754.4,1740.13,1751.6,3119979
12/9/2019,1750.66,1766.89,1745.61,1749.51,2502489
12/10/2019,1747.4,1750.67,1735,1739.21,2515644
12/11/2019,1741.67,1750,1735.71,1748.72,2101318
12/12/2019,1750,1764,1745.44,1760.33,3103949
12/13/2019 ,1765,1768.99,1755,1760.94,2747909
12/16/2019 ,1767,1769.5,1757.05,1769.21,3149345
12/17/2019 ,1778.01,1792,1777.39,1790.66,3646697
12/18/2019 ,1795.02,1798.2,1782.36,1784.03,3352187
12/19/2019 ,1780.5,1792.99,1774.06,1792.28,2738320
12/20/2019 ,1799.62,1802.97,1782.45,1786.5,5152460
12/23/2019 ,1788.26,1793,1784.51,1793,2137493
12/24/2019,1793.81,1795.57,1787.58,1789.21,881337
12/26/2019 ,1801.01,1870.46,1799.5,1868.77,6024608
12/27/2019 ,1882.92,1901.4,1866.01,1869.8,6188754
12/30/2019 ,1874,1884,1840.62,1846.89,3677306
12/31/2019 ,1842,1853.26,1832.23,1847.84,2510380
01/02/2020,1875,1898.01,1864.15,1898.01,4035900
